,Номенклатура,КлассТовара
362,8aba92f1-00a5-11df-9cf0-00151716f9f5,Средне продаваемый
363,53f3decc-544a-11e0-afa4-001517c526f0,Средне продаваемый
364,ca1bfb7f-e87e-11db-b692-00001a1933df,Средне продаваемый
365,2a72ea0c-f901-11df-9c4e-001517c526f0,Средне продаваемый
366,8e6cdef7-797d-11e1-84e2-001517c526f0,Средне продаваемый
367,db3e9dc7-c719-11db-920b-001731bb01c7,Средне продаваемый
368,752fb412-83f3-11df-8011-001517c526f0,Средне продаваемый
369,0c8b174a-2aea-11dd-8057-00151716f9f5,Средне продаваемый
370,0fcba6c5-1046-11e1-8fdb-001517c526f0,Средне продаваемый
371,b7c7a705-cc31-11df-b5c6-001517c526f0,Средне продаваемый
372,c98804e1-359e-11e0-acff-001517c526f0,Средне продаваемый
373,6e498c43-542c-11e0-afa4-001517c526f0,Средне продаваемый
